N,Z,E,U(E),known,A,N-Z,N/Z
19,10,7167.0673,5.1553,1,29,9,1.9
18,11,7682.1522,0.253,1,29,7,1.6363636363636365
17,12,8113.5317,0.0119,1,29,5,1.4166666666666667
16,13,8348.4647,0.0119,1,29,3,1.2307692307692308
15,14,8448.6361,0.0002,1,29,1,1.0714285714285714
14,15,8251.2368,0.0124,1,29,-1,0.9333333333333333
13,16,7746.3826,0.4497,1,29,-3,0.8125
12,17,7129.0,7.0,0,29,-5,0.7058823529411765
11,18,6276.0,15.0,0,29,-7,0.6111111111111112
21,9,6205.0,17.0,0,30,12,2.3333333333333335
20,10,7034.5317,8.4417,1,30,10,2.0
19,11,7501.9685,0.1576,1,30,8,1.7272727272727273
18,12,8054.425,0.0432,1,30,6,1.5
17,13,8261.1049,0.0645,1,30,4,1.3076923076923077
16,14,8520.6549,0.0008,1,30,2,1.1428571428571428
15,15,8353.5064,0.0022,1,30,0,1.0
14,16,8122.7081,0.0069,1,30,-2,0.875
13,17,7472.1698,0.7959,1,30,-4,0.7647058823529411
12,18,6866.0,6.0,0,30,-6,0.6666666666666666
22,9,6011.0,17.0,0,31,13,2.4444444444444446
21,10,6813.0902,8.5869,1,31,11,2.1
20,11,7398.6778,0.4507,1,31,9,1.8181818181818181
19,12,7869.1886,0.0992,1,31,7,1.5833333333333333
18,13,8225.518,0.0721,1,31,5,1.3846153846153846
17,14,8458.2916,0.0014,1,31,3,1.2142857142857142
16,15,8481.1677,0.0002,1,31,1,1.0666666666666667
15,16,8281.8013,0.0074,1,31,-1,0.9375
14,17,7869.2101,0.1112,1,31,-3,0.8235294117647058
13,18,7252.0,6.0,0,31,-5,0.7222222222222222
12,19,6487.0,10.0,0,31,-7,0.631578947368421
22,10,6671.0,16.0,0,32,12,2.2
21,11,7219.8815,1.1644,1,32,10,1.9090909090909092
20,12,7803.8411,0.1019,1,32,8,1.6666666666666667
19,13,8100.3449,0.2241,1,32,6,1.4615384615384615
18,14,8481.469,0.0093,1,32,4,1.2857142857142858
17,15,8464.1203,0.0013,1,32,2,1.1333333333333333
16,16,8493.1301,0.0002,1,32,0,1.0
15,17,8072.4058,0.0176,1,32,-2,0.8823529411764706
14,18,7700.0089,0.0553,1,32,-4,0.7777777777777778
13,19,6920.0,12.0,0,32,-6,0.6842105263157895
23,10,6436.0,18.0,0,33,13,2.3
22,11,7089.9262,13.6337,1,33,11,2.0
21,12,7636.4382,0.0807,1,33,9,1.75
20,13,8020.6172,0.2117,1,33,7,1.5384615384615385
19,14,8361.0596,0.0212,1,33,5,1.3571428571428572
18,15,8513.8073,0.033,1,33,3,1.2
17,16,8497.6304,0.0002,1,33,1,1.0625
16,17,8304.7557,0.0118,1,33,-1,0.9411764705882353
15,18,7928.9559,0.0121,1,33,-3,0.8333333333333334
14,19,7392.0,6.0,0,33,-5,0.7368421052631579
13,20,6657.0,12.0,0,33,-7,0.65
24,10,6287.0,15.0,0,34,14,2.4
23,11,6886.4377,17.6299,1,34,12,2.090909090909091
22,12,7550.3919,0.2027,1,34,10,1.8333333333333333
21,13,7860.3506,0.0619,1,34,8,1.6153846153846154
20,14,8337.1659,0.0236,1,34,6,1.4285714285714286
19,15,8448.1856,0.0238,1,34,4,1.2666666666666666
18,16,8583.4986,0.0013,1,34,2,1.125
17,17,8398.9706,0.0014,1,34,0,1.0
16,18,8197.6724,0.0023,1,34,-2,0.8888888888888888
15,19,7670.0,6.0,0,34,-4,0.7894736842105263
14,20,7173.0,9.0,0,34,-6,0.7
24,11,6745.0,19.0,0,35,13,2.1818181818181817
23,12,7356.2338,7.7048,1,35,11,1.9166666666666667
22,13,7787.1243,0.2103,1,35,9,1.6923076923076923
21,14,8169.5644,1.0245,1,35,7,1.5
20,15,8446.2496,0.0533,1,35,5,1.3333333333333333
19,16,8537.8511,0.0012,1,35,3,1.1875
18,17,8520.279,0.001,1,35,1,1.0588235294117647
17,18,8327.4621,0.0194,1,35,-1,0.9444444444444444
16,19,7965.8409,0.0146,1,35,-3,0.8421052631578947
15,20,7476.0,6.0,0,35,-5,0.75
14,21,6828.0,11.0,0,35,-7,0.6666666666666666
25,11,6557.0,19.0,0,36,14,2.272727272727273
24,12,7244.4202,19.1733,1,36,12,2.0
23,13,7623.5154,4.1529,1,36,10,1.7692307692307692
22,14,8112.5199,1.9944,1,36,8,1.5714285714285714
21,15,8307.8692,0.3643,1,36,6,1.4
20,16,8575.39,0.0052,1,36,4,1.25
19,17,8521.9322,0.001,1,36,2,1.1176470588235294
18,18,8519.9096,0.0008,1,36,0,1.0
17,19,8142.2233,0.009,1,36,-2,0.8947368421052632
16,20,7815.8799,1.1111,1,36,-4,0.8
15,21,7166.0,8.0,0,36,-6,0.7142857142857143
26,11,6403.0,19.0,0,37,15,2.3636363636363638
25,12,7055.1115,18.8905,1,37,13,2.0833333333333335
24,13,7531.316,4.8715,1,37,11,1.8461538461538463
23,14,7952.9033,3.0759,1,37,9,1.6428571428571428
22,15,8267.5561,1.0256,1,37,7,1.4666666666666666
21,16,8459.9363,0.0054,1,37,5,1.3125
20,17,8570.2816,0.0014,1,37,3,1.1764705882352942
19,18,8527.1406,0.0056,1,37,1,1.0555555555555556
18,19,8339.848,0.0025,1,37,-1,0.9473684210526315
17,20,8003.4567,0.0171,1,37,-3,0.85
16,21,7525.0,8.0,0,37,-5,0.7619047619047619
15,22,6926.0,11.0,0,37,-7,0.6818181818181818
27,11,6216.0,19.0,0,38,16,2.4545454545454546
26,12,6928.0,13.0,0,38,14,2.1666666666666665
25,13,7370.0,4.0,0,38,12,1.9230769230769231
24,14,7892.8297,2.7577,1,38,10,1.7142857142857142
23,15,8147.2749,1.91,1,38,8,1.5333333333333334
22,16,8448.7829,0.1887,1,38,6,1.375
21,17,8505.4817,0.0026,1,38,4,1.2352941176470589
20,18,8614.2807,0.0051,1,38,2,1.1111111111111112
19,19,8438.0593,0.0051,1,38,0,1.0
18,20,8240.0434,0.0051,1,38,-2,0.9
17,21,7751.0,5.0,0,38,-4,0.8095238095238095
16,22,7319.0,8.0,0,38,-6,0.7272727272727273
28,11,6056.0,19.0,0,39,17,2.5454545454545454
27,12,6734.0,13.0,0,39,15,2.25
26,13,7260.0,8.0,0,39,13,2.0
25,14,7730.9793,3.4752,1,39,11,1.7857142857142858
24,15,8097.9701,2.8883,1,39,9,1.6
23,16,8344.2698,1.2821,1,39,7,1.4375
22,17,8494.4032,0.0444,1,39,5,1.2941176470588236
21,18,8562.5988,0.1282,1,39,3,1.1666666666666667
20,19,8557.0258,0.0003,1,39,1,1.0526315789473684
19,20,8369.6711,0.0153,1,39,-1,0.95
18,21,8013.4575,0.6154,1,39,-3,0.8571428571428571
17,22,7566.0,5.0,0,39,-5,0.7727272727272727
16,23,7031.0,10.0,0,39,-7,0.6956521739130435
28,12,6598.0,13.0,0,40,16,2.3333333333333335
27,13,7097.0,7.0,0,40,14,2.076923076923077
26,14,7655.8247,3.0498,1,40,12,1.8571428571428572
25,15,7981.4177,2.0902,1,40,10,1.6666666666666667
24,16,8329.3255,0.0996,1,40,8,1.5
23,17,8427.766,0.8016,1,40,6,1.3529411764705883
22,18,8595.2594,0.0002,1,40,4,1.2222222222222223
21,19,8538.0907,0.0014,1,40,2,1.105263157894737
20,20,8551.3046,0.0006,1,40,0,1.0
19,21,8173.6697,0.0707,1,40,-2,0.9047619047619048
18,22,7865.8632,1.7061,1,40,-4,0.8181818181818182
17,23,7310.0,7.0,0,40,-6,0.7391304347826086
29,12,6425.0,12.0,0,41,17,2.4166666666666665
28,13,6980.0,10.0,0,41,15,2.1538461538461537
27,14,7482.0,7.0,0,41,13,1.9285714285714286
26,15,7906.5513,2.9308,1,41,11,1.7333333333333334
25,16,8229.6358,0.1,1,41,9,1.5625
24,17,8412.9593,1.6762,1,41,7,1.411764705882353
23,18,8534.3733,0.0085,1,41,5,1.2777777777777777
22,19,8576.0731,0.0003,1,41,3,1.1578947368421053
21,20,8546.7075,0.0034,1,41,1,1.05
20,21,8369.1979,0.0019,1,41,-1,0.9523809523809523
19,22,8034.3889,0.6816,1,41,-3,0.8636363636363636
18,23,7625.0,5.0,0,41,-5,0.782608695652174
17,24,7116.0,10.0,0,41,-7,0.7083333333333334
29,13,6829.0,12.0,0,42,16,2.230769230769231
28,14,7410.0,7.0,0,42,14,2.0
27,15,7765.9122,2.2621,1,42,12,1.8
26,16,8193.2275,0.0665,1,42,10,1.625
25,17,8345.8864,1.4194,1,42,8,1.4705882352941178
24,18,8555.6141,0.1375,1,42,6,1.3333333333333333
23,19,8551.2571,0.0025,1,42,4,1.2105263157894737
22,20,8616.5646,0.0035,1,42,2,1.1
21,21,8444.9303,0.0037,1,42,0,1.0
20,22,8259.24,0.0064,1,42,-2,0.9090909090909091
19,23,7824.0,5.0,0,42,-4,0.8260869565217391
18,24,7456.0,7.0,0,42,-6,0.75
